group;label;mentions;docs;weight;weighted_mentions
work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);736;18;1.0;736.0
work;Fründ (Hans Fründ);734;12;1.0;734.0
work;Edlibach (Gerold Edlibach, Zürcher Chronik);136;6;1.0;136.0
work;Bullinger (Heinrich Bullinger, historiographische Werke);125;5;1.0;125.0
work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);103;15;1.0;103.0
work;Tschachtlan (Benedikt Tschachtlan);73;7;1.0;73.0
work;Zürcher Stadtchronik (allgemein);65;6;1.0;65.0
work;Hemmerlin (Felix Hemmerlin/Malleolus);47;7;1.0;47.0
work;Schilling (ungenau);44;7;1.0;44.0
work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);34;7;1.0;34.0
work;Stumpf (Johannes Stumpf, Schweizerchronik);27;6;1.0;27.0
work;Etterlin (Petermann Etterlin, Kronika);25;4;1.0;25.0
work;Vadian (Joachim Vadianus, St. Galler Chronik);20;4;1.0;20.0
work;Justinger (Konrad Justinger, Berner Chronik);19;3;1.0;19.0
work;Hottinger (Johann Jakob Hottinger, Helvetische Kirchengeschichte);18;3;1.0;18.0
work;Dacher (Gebhard/Gebhart Dacher, Konstanzer Chronik);12;3;1.0;12.0
work;Kopp (Joseph Eutych Kopp, Geschichte der Eidgenossen);12;5;1.0;12.0
work;Simler (Josias Simler, De Helvetiorum republica / Republika Helvetiorum);12;3;1.0;12.0
work;Berner Chronik (allgemein);10;4;1.0;10.0
work;Twinger von Königshofen (Jakob Twinger von Königshofen, Chronik);9;2;1.0;9.0
work;Anshelm (Valerius Anshelm, Berner Chronik);6;1;1.0;6.0
work;Schodoler (Werner Schodoler, Eidgenössische Chronik);4;2;1.0;4.0
work;Michael Stettler (Berner Chronik 1620–1622);3;1;1.0;3.0
work;Anonyme Basler Fortsetzung der Königshofen-Chronik („Von den von Zürich“);1;1;1.0;1.0
work;Cysat (Renward Cysat, Luzerner Chronik/Collectanea);1;1;1.0;1.0
