author_id;display;surnames
jucker-michael;Jucker, Michael;jucker|michael
langmaier-konstantin-m;Langmaier, Konstantin M.;langmaier
landolt-oliver;Landolt, Oliver;landolt|oliver
sieber-christian;Sieber, Christian;sieber|christian
bihrer-andreas;Bihrer, Andreas;bihrer|andreas
bosshard-werner;Bosshard, Werner;bosshard|werner
sutter-pascale;Sutter, Pascale;sutter|pascale
stettler-bernhard;Stettler, Bernhard;stettler|bernhard
frey-stefan;Frey, Stefan;frey|stefan
illi-martin;Illi, Martin;illi|martin
rigendinger-fritz;Rigendinger, Fritz;rigendinger|fritz
speck-dieter;Speck, Dieter;speck|dieter
zahnd-urs-martin;Zahnd, Urs Martin;zahnd|martin
niederhauser-peter;Niederhauser, Peter;niederhauser|peter
heinrich-speich;Speich, Heinrich;heinrich|speich
niederstaetter-alois;Niederstätter, Alois;niederstaetter|alois
Krieg und Todesvorbereitung (Werner, Bosshard);Krieg und todesvorbereitung (werner, bosshard);Krieg und Todesvorbereitung (Werner, Bosshard)
